computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_117.jpg
forest,3,C:\Users\przemeko\Desktop\classification\data\images\forest\forest_502.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_67.jpg
living_room,4,C:\Users\przemeko\Desktop\classification\data\images\living_room\living_room_322.jpg
forest,3,C:\Users\przemeko\Desktop\classification\data\images\forest\forest_569.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_31.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_136.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_218.jpg
living_room,4,C:\Users\przemeko\Desktop\classification\data\images\living_room\living_room_101.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_574.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_373.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_429.jpg
field,2,C:\Users\przemeko\Desktop\classification\data\images\field\grass_fields_8.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_254.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_18.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_440.jpg
field,2,C:\Users\przemeko\Desktop\classification\data\images\field\grass_fields_89.jpg
living_room,4,C:\Users\przemeko\Desktop\classification\data\images\living_room\living_room_368.jpg
field,2,C:\Users\przemeko\Desktop\classification\data\images\field\grass_fields_30.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_563.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_221.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_211.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_485.jpg
forest,3,C:\Users\przemeko\Desktop\classification\data\images\forest\forest_15.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_234.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_523.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_463.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_48.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_59.jpg
forest,3,C:\Users\przemeko\Desktop\classification\data\images\forest\forest_139.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_62.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_416.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_31.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_218.jpg
computer_lab,1,C:\Users\przemeko\Desktop\classification\data\images\computer_lab\computer_lab_437.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_506.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_108.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_137.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_288.jpg
living_room,4,C:\Users\przemeko\Desktop\classification\data\images\living_room\living_room_229.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_42.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_449.jpg
staircase,5,C:\Users\przemeko\Desktop\classification\data\images\staircase\staircase_478.jpg
bathroom,0,C:\Users\przemeko\Desktop\classification\data\images\bathroom\bathroom_526.jpg
living_room,4,C:\Users\przemeko\Desktop\classification\data\images\living_room\living_room_278.jpg
